class_nbr	pattern	mtg_start	mtg_end
33684	F	08.30.00.000000	11.20.00.000000
15868	F	11.30.00.000000	14.20.00.000000
16433	F	16.00.00.000000	18.50.00.000000
9154	F	14.00.00.000000	14.50.00.000000
9230	F	10.00.00.000000	12.50.00.000000
9197	F	12.30.00.000000	15.20.00.000000
9268	F	15.00.00.000000	17.50.00.000000
9160	F	12.30.00.000000	13.20.00.000000
16156	F	08.00.00.000000	10.50.00.000000
9166	F	13.30.00.000000	14.20.00.000000
34360	F	14.00.00.000000	17.00.00.000000
9083	F	12.00.00.000000	14.50.00.000000
9196	F	08.30.00.000000	11.20.00.000000
33968	F	13.20.00.000000	15.10.00.000000
34231	F	13.00.00.000000	15.50.00.000000
8260	F	14.30.00.000000	15.20.00.000000
9148	F	14.30.00.000000	17.20.00.000000
33519	F	14.00.00.000000	15.50.00.000000
9215	F	15.30.00.000000	18.20.00.000000
15869	F	11.30.00.000000	14.20.00.000000
8514	F	09.30.00.000000	12.20.00.000000
9169	F	11.30.00.000000	12.20.00.000000
9045	F	08.30.00.000000	11.20.00.000000
8714	F	12.00.00.000000	14.50.00.000000
9163	F	09.30.00.000000	10.20.00.000000
9621	F	18.30.00.000000	21.20.00.000000
33481	F	09.30.00.000000	12.20.00.000000
9080	M	14.00.00.000000	15.50.00.000000
33683	M	14.30.00.000000	17.20.00.000000
8525	M	09.30.00.000000	12.20.00.000000
15387	M	18.30.00.000000	21.20.00.000000
16312	M	17.30.00.000000	19.20.00.000000
9164	M	09.30.00.000000	10.20.00.000000
8854	M	14.30.00.000000	17.20.00.000000
9225	M	11.30.00.000000	14.20.00.000000
16313	M	17.30.00.000000	19.20.00.000000
9162	M	13.30.00.000000	14.20.00.000000
8528	M	10.30.00.000000	13.20.00.000000
8556	M	14.30.00.000000	17.20.00.000000
8983	M	14.00.00.000000	16.50.00.000000
34193	M	15.30.00.000000	18.20.00.000000
9228	M	16.30.00.000000	19.20.00.000000
8628	M	17.30.00.000000	20.20.00.000000
34192	M	09.00.00.000000	11.50.00.000000
34289	M	12.00.00.000000	14.50.00.000000
16227	M	18.30.00.000000	21.20.00.000000
8243	M	08.30.00.000000	11.20.00.000000
15426	M	12.30.00.000000	15.20.00.000000
15871	M	17.30.00.000000	18.20.00.000000
8448	M	17.30.00.000000	20.20.00.000000
5783	M	17.30.00.000000	20.20.00.000000
15862	M	11.30.00.000000	14.20.00.000000
8439	M	17.30.00.000000	20.20.00.000000
8613	M	17.30.00.000000	19.20.00.000000
34303	M	17.30.00.000000	20.30.00.000000
9768	M	18.00.00.000000	20.50.00.000000
8444	M	11.30.00.000000	12.20.00.000000
9146	M	08.30.00.000000	11.20.00.000000
33625	M	17.30.00.000000	20.20.00.000000
16176	M	17.30.00.000000	19.20.00.000000
6498	M	17.30.00.000000	20.20.00.000000
8636	MW	11.00.00.000000	12.50.00.000000
8624	MW	14.30.00.000000	15.50.00.000000
8643	MW	10.00.00.000000	11.20.00.000000
8960	MW	14.30.00.000000	15.50.00.000000
9227	MW	13.30.00.000000	14.20.00.000000
9079	MW	17.30.00.000000	18.50.00.000000
16240	MW	16.00.00.000000	17.20.00.000000
9267	MW	19.00.00.000000	20.20.00.000000
33955	MW	08.30.00.000000	09.50.00.000000
