name	BetweennessCentrality	ClosenessCentrality	Community CC	Global CC	Degree
003c8688dfe2a00e49dc4fe8ffc6d814	0	0.58394161	1	1	41
00477e624b825bbca53309618112e7c2	0	1	1	1	9
006fd0c921d9bdac8a55882eda80e3be	0.0155443	0.36788079	1	0.55257937	64
007750a66936c8c16fe3fcbcae637aab	0	0.31375318	1	1	21
007f41794dfabfa72bafe35b2c064923	0	0.29745649	1	1	60
0097ea9b3c69122821b4b92b8bddb930	0	1	1	1	22
01413d6da681cafaca1a1663068d941e	0	0.27781945	1	1	40
018b1af6e62202079d8786142259b69e	0	0.37082777	1	1	125
01b86a3aba1eb2cce61e1f93f966fd0f	0	0.31998848	1	1	20
02389e10fba7a2aa033138fb92653e1c	0	0.31375318	1	1	21
0266f8adb79102b1f496ae23028a5512	0	0.24525386	1	1	19
0314e69d7692d84245b57483ec7d9bc5	0	0.29745649	1	1	60
034bed5bf5e3e31670f4e7d2e968e7d1	0	0.36618326	1	1	61
034c1fc9a336758905eb84c8b604ac7d	0	0.27781945	1	1	40
035f13d5e2d7b8526c72054318340dce	0	0.34163592	1	1	31
03a81baf8d70d4eb5a6a0debbd259b49	0	0.36618326	1	1	61
03e31691c7ecc025673beaa9a2c2839c	0	0.37082777	1	1	125
03e99e84c34b5b0561853fe746f0426e	0	0.25711641	1	1	20
03fa56492adec56ece2144e1a1bbcf64	0.00271141	0.39397163	1	0.54604981	137
0429d984999777344a2962a976184d48	0	0.36283475	1	1	64
045fa8791791a5293793f6347c74aa1a	0.03867833	0.45476873	0.404571429	0.39966037	142
046b8445667db8ae97009d1af36337f2	0	0.35169357	1	1	87
047c9fc92865a5b726f1fa99244d8459	0	0.34406937	1	1	43
04ec16719fb7afae3a29cf87da71589e	0	0.27486393	1	1	25
0519703d4170cad9ca53c24a90d31d97	0	0.57553957	1	1	21
052b0d48ee2990f260d4fae84028fce3	0	0.37082777	1	1	125
052ef942bf73a590cd444070060375d6	0.00633652	0.29905787	1	0.39285714	56
053c744454d0d115cc35f190ec39bf8e	0	0.41347227	1	1	51
054357269753be14e5672eca09d3d757	0.00122606	0.39105949	0.705685619	0.69250375	116
