ID	BetweennessCentrality	ClosenessCentrality	Community CC	Global CC (per component)	Degree
003c8688dfe2a00e49dc4fe8ffc6d814	0	0.28093645	0.952423969	1	41
006fd0c921d9bdac8a55882eda80e3be	0	0.32704403	0.985074627	1	50
007f41794dfabfa72bafe35b2c064923	8.88E-05	0.28282828	0.669661064	0.62382445	88
00a5f03cf3932d6de0ae8265fb20dc1e	0	0.34291098	0.987654321	1	57
00d944f47b25fa0f32b4a29b1f3de97d	0	0.3013245	0.777998346	1	61
01413d6da681cafaca1a1663068d941e	0	0.30682776	0.99378882	1	81
018b1af6e62202079d8786142259b69e	0	0.33201581	0.995515695	1	125
01ea6169cf109cd6e817dedd6c35f133	6.97E-05	0.30921705	0.918180407	0.77282438	119
0266f8adb79102b1f496ae23028a5512	3.49E-04	0.32150743	0.672131148	0.7003871	125
02c526b67d1c3059cf2a0acf93c0b6c0	0	0.20047733	0.962962963	1	14
02d4a6a7e0e84c703cb2534ad79ee570	0	0.28111726	0.587458007	1	37
030d0f0db1b0bc4a65cc99a7d1bd7a39	0	0.16061185	0.987951807	1	42
0314e69d7692d84245b57483ec7d9bc5	8.20E-04	0.30362853	0.623427908	0.56311844	116
032278fed024b352647b3b5715a6c9f9	0	0.28111726	0.732612613	1	37
03369be65078326ed274664d14e80dcc	0	0.30965547	0.761828388	1	42
034bed5bf5e3e31670f4e7d2e968e7d1	9.11E-05	0.336	0.882255951	0.8008222	140
034c1fc9a336758905eb84c8b604ac7d	0	0.30682776	0.99378882	1	81
035f13d5e2d7b8526c72054318340dce	0	0.3190184	0.994818653	1	114
0364aba5537b7e6d8039206507084028	0	0.7	0.908496732	1	8
036f26d8177ac15f079a6243e43b478c	0	0.27090052	0.927362388	1	63
0389876ce4e36158d08bf0ed5fbd5b93	0	0.34291098	0.987654321	1	57
03a81baf8d70d4eb5a6a0debbd259b49	9.11E-05	0.336	0.882255951	0.8008222	140
03d21bc19449179c9dfabfed9967299f	0	0.32704403	0.722975008	1	50
03d4a59d0342390489fda593db375346	0.00126603	0.31066856	0.588957055	0.60126219	84
03e31691c7ecc025673beaa9a2c2839c	0	0.33201581	0.995515695	1	125
03e99e84c34b5b0561853fe746f0426e	0	0.28770913	0.967579111	1	51
03f603d2f7ad132502fff8d53f5b5188	2.21E-05	0.27201395	0.75259434	0.81782265	68
03fa56492adec56ece2144e1a1bbcf64	4.34E-04	0.34162365	0.736842105	0.69325337	116
0429d984999777344a2962a976184d48	0.00299047	0.34932821	0.962962963	0.65691337	84
042fa5bd1f975e5ba841cef77b936f60	0	0.30178251	0.985915493	1	39
045463cfcda5627b92534cc5030805c1	0	0.30413591	0.77916042	1	52
