name	BetweennessCentrality	ClosenessCentrality	Degree	CCC
00265deca2e31c809b18c5a77625d7e4	0	0.30147971	69	1
00313d838848cb2f155417110b589648	0	0.29166667	51	1
003c8688dfe2a00e49dc4fe8ffc6d814	3.31E-05	0.26360679	69	0.677323103
00477e624b825bbca53309618112e7c2	0	0.22721326	9	1
005a0ef59603c2f4f967a31416fedc05	0	0.27952786	21	1
006fd0c921d9bdac8a55882eda80e3be	0.00478839	0.39055472	157	0.629943503
007750a66936c8c16fe3fcbcae637aab	0	0.31748934	21	1
007d4054922892abab74cf14fbd164f6	4.44E-05	0.21042003	56	0.815584416
007f41794dfabfa72bafe35b2c064923	1.56E-04	0.33239154	157	0.592751678
0097ea9b3c69122821b4b92b8bddb930	0	0.21230644	22	1
00a214c24eadc36aed896869c31d5038	0	0.34263435	144	1
00a5f03cf3932d6de0ae8265fb20dc1e	4.44E-04	0.37401292	105	0.682539683
00cd969afaf65ecc95bb9f54c06a7cd8	8.18E-05	0.32533452	93	0.806451613
00d944f47b25fa0f32b4a29b1f3de97d	0.00126807	0.32157658	134	0.610936271
00fab54337cd97f6fee9e196d1a00a8e	0	0.30417014	21	1
01170daa0b5a4dc6b5814a47f441a6aa	1.97E-05	0.30781567	60	0.825589226
01413d6da681cafaca1a1663068d941e	0	0.31083269	81	1
018b1af6e62202079d8786142259b69e	2.30E-05	0.32977665	141	0.852951699
01b86a3aba1eb2cce61e1f93f966fd0f	2.49E-04	0.33802947	78	0.445267054
01d556df2a5ac56ae5ace1289e1fe5e8	9.98E-05	0.32826283	106	0.606872452
01ea6169cf109cd6e817dedd6c35f133	4.12E-04	0.34160734	212	0.603024148
02389e10fba7a2aa033138fb92653e1c	0	0.31748934	21	1
025a2bb9a839a26b63c398bf45491b67	0.00194948	0.2996467	85	0.667948718
0265a13ac091838829103dc945c1e47e	3.69E-04	0.1739483	23	0.628571429
0266f8adb79102b1f496ae23028a5512	5.00E-05	0.32183198	174	0.620536025
027727757860654e7c97c5507ca260d4	0.00147386	0.33947687	86	0.869565217
0293104931417f64fb64a30f4cc9e942	5.78E-04	0.17331179	12	0.712121212
02c526b67d1c3059cf2a0acf93c0b6c0	0	0.26160247	14	1
02c984b8da79348002fdeae50d2f1f39	0	0.280043	11	1
02d4a6a7e0e84c703cb2534ad79ee570	8.20E-04	0.34493521	239	0.413553114
02f28397c0cea2405d63b0ab549cb659	0	0.232812	14	1
030d0f0db1b0bc4a65cc99a7d1bd7a39	4.60E-07	0.26439031	51	0.937254902
0314e69d7692d84245b57483ec7d9bc5	2.90E-04	0.32452394	173	0.538438234
032278fed024b352647b3b5715a6c9f9	7.02E-04	0.34535985	200	0.786628584
03369be65078326ed274664d14e80dcc	8.05E-06	0.31679986	85	0.682730924
034bed5bf5e3e31670f4e7d2e968e7d1	5.28E-05	0.3357886	145	0.961757269
034c1fc9a336758905eb84c8b604ac7d	0	0.31083269	81	1
035f13d5e2d7b8526c72054318340dce	0	0.32314372	114	1
0364aba5537b7e6d8039206507084028	2.40E-07	0.14786734	12	0.833333333
036c44a394b810895668da54773f538a	4.94E-04	0.23548783	69	0.600170503
036f26d8177ac15f079a6243e43b478c	1.87E-04	0.26076076	126	0.570539683
0389876ce4e36158d08bf0ed5fbd5b93	0.00204285	0.35421523	162	0.772913817
03a81baf8d70d4eb5a6a0debbd259b49	5.28E-05	0.3357886	145	0.961757269
03d21bc19449179c9dfabfed9967299f	0.00117274	0.36535764	134	0.480620155
03d4a59d0342390489fda593db375346	3.21E-04	0.32635347	135	0.527111111
03e31691c7ecc025673beaa9a2c2839c	3.22E-06	0.32705587	132	0.919096774
03e99e84c34b5b0561853fe746f0426e	0.0014274	0.36426288	227	0.494902978
03eb7012484e06d1fd5628ec6716ae53	5.21E-05	0.34473958	152	0.891257996
03f603d2f7ad132502fff8d53f5b5188	2.72E-05	0.25894632	115	0.654157132
03fa56492adec56ece2144e1a1bbcf64	0.03516132	0.42191115	345	1
0429d984999777344a2962a976184d48	8.15E-04	0.36212888	116	1
042fa5bd1f975e5ba841cef77b936f60	0	0.3026556	39	1
04416db32a992d4d7ca9e0e615e71fd8	0	0.30038712	32	1
045463cfcda5627b92534cc5030805c1	1.36E-04	0.33972986	179	0.54167916
045fa8791791a5293793f6347c74aa1a	0.00355698	0.38588509	399	0.530885145
0461a86c68a68d7ec111b73bf6f99c7a	1.17E-04	0.35111197	166	0.851515152
046b8445667db8ae97009d1af36337f2	0.00154514	0.38568105	161	0.642371996
047c9fc92865a5b726f1fa99244d8459	0.00253756	0.35955832	162	0.742175274
04a79c036211f31a1a84b1696d3b1a6b	0	0.303942	20	1
04b25e00c0d5fcbeccdfd4e9c1623b27	3.94E-05	0.30618756	147	0.553629469
04ea646d7b6b343f006e47d9a22b5cfa	0	0.31671733	40	1
04ec16719fb7afae3a29cf87da71589e	0.02788442	0.35036987	156	0.631515152
0519703d4170cad9ca53c24a90d31d97	9.95E-04	0.24828103	56	0.818823529
052b0d48ee2990f260d4fae84028fce3	2.47E-04	0.34581832	174	0.795937798
052ef942bf73a590cd444070060375d6	9.33E-04	0.35885073	221	0.482593942
05383f2a82a1a07e42f7b618aea80d4c	0	0.19225092	31	1
053c744454d0d115cc35f190ec39bf8e	0.00198157	0.37910603	146	0.437580438
054357269753be14e5672eca09d3d757	3.51E-04	0.36248882	134	1
0548d32633161d33eb6f7f8b3a5eed26	0.00467314	0.3821249	171	0.784458834
054b5e555dbc9896738e2aac1865fe6f	7.63E-04	0.35846275	323	0.728411633
059fe3833572a9f059bb425d0c44ec0e	1.62E-04	0.33333333	73	0.865047233
05ad1f225a2b1875fa0695c672a40fde	0.00143872	0.34670596	191	0.693255132
05b407c4f3889861d1666a85602f1696	5.59E-04	0.34532715	101	0.763801537
05d56fa4e9c56312707b46c4277e213f	9.51E-04	0.353323	209	0.625735709
05d766a4b50bc13904047352d361ed22	3.22E-06	0.32705587	132	0.919096774
05eb3587e0de9d17f1458e8accb9437a	0	0.26575822	28	1
05eda63dc21ee15b8ef2579ffa7edee6	0.00100866	0.34919571	228	0.787246547
0601ae5909f964e48f5c5c4748e497fe	0	0.22038917	9	1
0613e1e8060ec641e633528fe7b72b8e	2.32E-04	0.33668759	165	0.51009901
062245a613466b5799d3933f2f3373d2	2.11E-06	0.34447908	144	0.988825397
06292a2b651be951c4cd3d682ac9c8cf	0.00167884	0.29969595	144	0.602679011
0645222311569e6d54d9107d36ee4e70	2.68E-04	0.33532549	213	0.534214505
064590ef18b5c43d7c141949a1864d77	1.21E-04	0.27584903	82	0.616982836
064c2be465bc63d302361b04d8256f73	0.00655186	0.26273323	102	0.562233589
065de0cb3e7975b66d205edc1fad5d1e	0.00149259	0.32574134	145	0.847117794
06673381c1d982eccb55688210cbbca6	0	0.30888456	51	1
066fcb8eb11ee9ab6aa8718d9f550dbf	4.44E-05	0.21042003	56	0.815584416
067399c1f4b24e6644a952c0f987f2e4	0	0.31083269	81	1
068192da85efb2d1c9e297062eee540a	0.00101573	0.34627801	129	0.820200952
06832ecbd9683fc197dd0f7197513d1b	5.21E-05	0.34473958	152	0.891257996
06917623b305cb5462cafbddb40718f9	0.00409229	0.30051088	137	0.695017182
06b3229e60bbef51e2aa19de3739dd0e	0.00133448	0.37202897	111	0.474898236
06b338dc755fc6c51a68cf7eff9cad50	0	0.21931565	21	1
06b4170968298f1d03193a404779fb23	3.44E-04	0.33563409	227	0.505515873
06b9571d7a4eadffd0e422ecc419cf4f	0	0.3036889	48	1
06c4db1ba3aa68a5c2deb49bb904f54c	4.16E-04	0.32288623	182	0.494602159
06c539289e96023cf6578d19cb30727c	0	0.34263435	144	1
06d064672d567cd04076ff7c1c896ca7	1.05E-04	0.26568078	122	0.615634738
06f54ee8ec234e44985cf24bb880ad89	0	0.34263435	144	1
07278989bd641a6030b1b3f5f53e238b	6.95E-04	0.32711454	97	0.976129582
07294868425d0d7316ae92d9e4ff86fc	0.00249804	0.34713497	161	0.888888889
075517a9233a77e57e76f0b9fc754a39	3.35E-05	0.25889118	109	0.627590894
0759f7acd48a7af924c4c9271364d581	8.02E-05	0.27793019	52	0.803030303
075f82704a03af4731bc8b7811485102	0	0.26861604	27	1
0776f5ff2d9ed528cfbb4a002042d2de	1.85E-05	0.3090678	89	0.803702615
07a03a4daadb91f4dd167efa0a2e1c79	0	0.30147971	69	1
07b45b89da862a6f9b585267bc9f49dc	2.01E-04	0.34379713	201	0.554804584
07b738cff9669f2c4b93708cc1190a1b	0	0.25384562	15	1
07b8a4c4b51bfdc9d0a2087800b52054	0	0.32325829	105	1
07cf4ab17d214d5efda8e20931b2676c	5.67E-04	0.28768636	129	0.635580709
07df11c95b78d7a2dd70d76e5a003507	0	0.33324196	141	1
082232aa3fea18b31a06b053a1b752e1	0	0.31671733	40	1
0839be300e7657255e158505af533604	3.36E-05	0.24823033	16	0.980952381
08456adf66fda3afc5b847d4e7ce8a98	0	0.30140496	40	1
085442df7d64c5ab0e9250f97ec8c5bd	5.23E-04	0.35229907	167	0.856821589
085ce5f9e13aea748dcdcb2ae105def4	4.07E-05	0.30197897	91	0.662486938
086c34d4e99fca7caa2b1a633c14959a	0	0.19222052	23	1
087657c3d29467cc9d76de265cdfc2dd	2.63E-04	0.33169623	182	1
088f2ffb4bca94829e13cace88331f19	8.12E-05	0.336284	149	0.977477477
08a8361c7b285cf8c13cffca20a9e349	3.12E-04	0.34418649	241	0.425392887
08c33f95f4cfb083550ad239a83be844	9.85E-05	0.31896099	110	0.630847367
08d86c6517ff30fb2a26d2c4d68b3dc1	0	0.27472693	16	1
08f0d09c0ef8e53454db035ff9fec02c	0	0.31083269	81	1
08fcb9f3a6663b71e0c46a915be4d810	3.51E-04	0.33160575	79	1
0900709d6147d5d80f7d5fd7a49802e5	1.66E-04	0.34986569	103	0.601085482
09026311c5002fa0886ae3a32b57f6e9	0.00111313	0.35804045	205	1
0904f4010dd6da6bd76ca134b266bfcb	0	0.20994761	44	1
09082304e74c3c001aa906bcb6090b07	2.11E-06	0.34447908	144	0.988825397
0910a5b1ff635f2d4bf02e1bc2acfd7b	1.18E-04	0.26593262	148	0.590252539
094072b4704446523e854be950e4a841	1.18E-04	0.33746646	143	0.803013888
09460cf19efdffb70f0497c7f5d8b45a	1.24E-05	0.31136344	138	0.793681917
09771150cdde9590389f01c64ec2bc3e	3.24E-06	0.30253007	71	0.978687127
097e5cf0bdc304744324230c9fbf17fe	2.40E-06	0.31732359	31	0.825287356
0984e99dd27e31aa58085e97126e4618	2.38E-06	0.24580441	44	0.827242525
099a7896d71a2c7a778597686723ba6c	3.24E-06	0.30253007	71	0.978687127
099efb469949140c3e6597597276199d	1.62E-05	0.24685258	110	0.753961635
09bb8e8a25b11e6d3e8a4c722ef72094	0	0.30381539	45	1
