name	BetweennessCentrality	ClosenessCentrality	Community CC	Global CC	Degree
00265deca2e31c809b18c5a77625d7e4	0	0.29087431	1	1	69
00313d838848cb2f155417110b589648	0	0.28288466	1	1	51
003c8688dfe2a00e49dc4fe8ffc6d814	0	0.27039749	1	1	27
005a0ef59603c2f4f967a31416fedc05	0	0.24520964	1	1	21
007f41794dfabfa72bafe35b2c064923	0	0.2983266	1	1	42
00a214c24eadc36aed896869c31d5038	0	0.33311856	1	1	144
00a5f03cf3932d6de0ae8265fb20dc1e	0	0.34120908	1	1	52
00cd969afaf65ecc95bb9f54c06a7cd8	4.72E-04	0.33879423	0.566486486	0.58368396	93
00d944f47b25fa0f32b4a29b1f3de97d	1.59E-04	0.30110658	1	0.68089888	90
01170daa0b5a4dc6b5814a47f441a6aa	0	0.28288466	1	1	51
01b86a3aba1eb2cce61e1f93f966fd0f	0	0.31516703	1	1	37
01d556df2a5ac56ae5ace1289e1fe5e8	9.89E-04	0.31344731	0.47278481	0.49326146	106
01ea6169cf109cd6e817dedd6c35f133	0.00239674	0.36557771	1	0.50033027	183
025a2bb9a839a26b63c398bf45491b67	9.56E-04	0.30895183	0.531561462	0.39835841	86
0265a13ac091838829103dc945c1e47e	0	1	1	1	6
0266f8adb79102b1f496ae23028a5512	0	0.31024964	1	1	66
027727757860654e7c97c5507ca260d4	0.00110992	0.32775453	1	0.64801865	66
0293104931417f64fb64a30f4cc9e942	0.12121212	1	0.636363636	0.63636364	12
02c984b8da79348002fdeae50d2f1f39	0	0.21031649	1	1	11
02d4a6a7e0e84c703cb2534ad79ee570	4.99E-04	0.35055601	0.540121581	0.60129211	198
02f28397c0cea2405d63b0ab549cb659	0	0.26671482	1	1	14
030d0f0db1b0bc4a65cc99a7d1bd7a39	0	0.28497409	1	1	41
0314e69d7692d84245b57483ec7d9bc5	1.59E-04	0.30110658	1	0.68089888	90
032278fed024b352647b3b5715a6c9f9	1.44E-04	0.33410883	1	0.77006613	170
03369be65078326ed274664d14e80dcc	4.81E-05	0.31721684	0.674011299	0.64475524	66
036c44a394b810895668da54773f538a	0	0.23173465	1	1	44
036f26d8177ac15f079a6243e43b478c	7.38E-05	0.27973163	0.615045548	0.61456583	85
0389876ce4e36158d08bf0ed5fbd5b93	0.00167967	0.33376372	1	0.65917603	90
03d21bc19449179c9dfabfed9967299f	0	0.33759958	1	1	56
03d4a59d0342390489fda593db375346	0	0.30591716	1	1	49
03e99e84c34b5b0561853fe746f0426e	0.00278292	0.37458339	0.967320261	0.40825894	222
03eb7012484e06d1fd5628ec6716ae53	1.12E-04	0.3551312	0.891818999	0.90101081	152
03f603d2f7ad132502fff8d53f5b5188	1.15E-04	0.29627507	0.743518519	0.73529412	85
03fa56492adec56ece2144e1a1bbcf64	0.00278712	0.37002577	0.858617454	0.63266408	193
0429d984999777344a2962a976184d48	0	0.3178409	1	1	32
045463cfcda5627b92534cc5030805c1	2.72E-04	0.34651475	0.51707989	0.52624113	141
045fa8791791a5293793f6347c74aa1a	3.65E-04	0.34749294	0.579448622	0.58533125	266
0461a86c68a68d7ec111b73bf6f99c7a	1.68E-04	0.34471263	0.792057363	0.80387003	166
047c9fc92865a5b726f1fa99244d8459	0.00179656	0.36347019	0.901360544	0.59635854	120
04a79c036211f31a1a84b1696d3b1a6b	0	0.30722605	1	1	20
04b25e00c0d5fcbeccdfd4e9c1623b27	2.24E-04	0.29035157	0.605263158	0.58580184	89
04ea646d7b6b343f006e47d9a22b5cfa	0	0.32187772	1	1	40
04ec16719fb7afae3a29cf87da71589e	2.49E-04	0.31340931	0.644907724	0.6512605	85
052b0d48ee2990f260d4fae84028fce3	0	0.32091868	1	1	55
052ef942bf73a590cd444070060375d6	0.00108924	0.3678668	0.926470588	0.50093975	135
053c744454d0d115cc35f190ec39bf8e	5.91E-04	0.35012867	1	0.58806655	84
054357269753be14e5672eca09d3d757	0	0.31925404	1	1	36
0548d32633161d33eb6f7f8b3a5eed26	7.73E-04	0.34642187	0.606060606	0.54871221	95
054b5e555dbc9896738e2aac1865fe6f	7.18E-04	0.35650255	1	0.49298028	248
05ad1f225a2b1875fa0695c672a40fde	0.00832275	0.35818207	1	0.69106317	177
05b407c4f3889861d1666a85602f1696	0	0.32091868	1	1	55
05d56fa4e9c56312707b46c4277e213f	0	0.26854353	1	1	60
05eda63dc21ee15b8ef2579ffa7edee6	0	0.3030836	1	1	45
0613e1e8060ec641e633528fe7b72b8e	5.42E-04	0.3457269	0.415966387	0.41722099	165
062245a613466b5799d3933f2f3373d2	0	0.35469265	1	1	143
06292a2b651be951c4cd3d682ac9c8cf	0	0.2893117	1	1	61
0645222311569e6d54d9107d36ee4e70	1.96E-04	0.29805142	0.933333333	0.64419476	90
064590ef18b5c43d7c141949a1864d77	0.00129252	0.2818053	0.54778481	0.54561879	82
064c2be465bc63d302361b04d8256f73	0	0.2836607	1	1	33
065de0cb3e7975b66d205edc1fad5d1e	4.89E-04	0.31682804	0.589939638	0.51680672	120
068192da85efb2d1c9e297062eee540a	0.00482312	0.35046095	0.582927621	0.39931406	157
06832ecbd9683fc197dd0f7197513d1b	1.12E-04	0.3551312	0.891818999	0.90101081	152
06917623b305cb5462cafbddb40718f9	0.00776178	0.32151741	0.795798319	0.47470968	125
06b3229e60bbef51e2aa19de3739dd0e	0	0.3030836	1	1	45
06b4170968298f1d03193a404779fb23	4.66E-04	0.29080886	0.500917912	0.51902826	139
06c4db1ba3aa68a5c2deb49bb904f54c	0	0.31428571	1	1	66
06c539289e96023cf6578d19cb30727c	0	0.33311856	1	1	144
06d064672d567cd04076ff7c1c896ca7	7.89E-04	0.30847255	0.597723368	0.52133857	122
06f54ee8ec234e44985cf24bb880ad89	0	0.33311856	1	1	144
07278989bd641a6030b1b3f5f53e238b	0.00418681	0.34329349	1	0.52230971	127
07294868425d0d7316ae92d9e4ff86fc	0	0.33311856	1	1	144
075517a9233a77e57e76f0b9fc754a39	7.89E-04	0.30847255	0.597723368	0.52133857	122
0759f7acd48a7af924c4c9271364d581	0	0.29637698	1	1	41
075f82704a03af4731bc8b7811485102	0	0.28944127	1	1	32
0776f5ff2d9ed528cfbb4a002042d2de	1.65E-04	0.31539776	0.967948718	0.76762002	89
07a03a4daadb91f4dd167efa0a2e1c79	0	0.29087431	1	1	69
07b45b89da862a6f9b585267bc9f49dc	6.22E-04	0.35285285	0.671556758	0.62489206	193
07cf4ab17d214d5efda8e20931b2676c	0	0.28046002	1	1	44
07df11c95b78d7a2dd70d76e5a003507	0	0.33014049	1	1	141
082232aa3fea18b31a06b053a1b752e1	0	0.32187772	1	1	40
0839be300e7657255e158505af533604	0	0.28944127	1	1	32
085ce5f9e13aea748dcdcb2ae105def4	0	0.26854353	1	1	60
086c34d4e99fca7caa2b1a633c14959a	0	0.18867236	1	1	23
08a8361c7b285cf8c13cffca20a9e349	5.76E-04	0.34918276	0.55678509	0.45854507	170
08c33f95f4cfb083550ad239a83be844	2.64E-04	0.32680152	0.772691706	0.60266889	110
08d86c6517ff30fb2a26d2c4d68b3dc1	0	0.25143469	1	1	16
0900709d6147d5d80f7d5fd7a49802e5	4.92E-04	0.35170068	0.87197724	0.53588426	103
09026311c5002fa0886ae3a32b57f6e9	0	0.33610714	1	1	61
09082304e74c3c001aa906bcb6090b07	0	0.35469265	1	1	143
0910a5b1ff635f2d4bf02e1bc2acfd7b	8.80E-04	0.27771809	0.524988191	0.51968075	149
094072b4704446523e854be950e4a841	1.94E-04	0.34819504	0.967320261	0.74913982	139
09460cf19efdffb70f0497c7f5d8b45a	5.90E-04	0.35828136	0.615291751	0.61736973	156
09771150cdde9590389f01c64ec2bc3e	0	0.29087431	1	1	69
097e5cf0bdc304744324230c9fbf17fe	0	0.29726311	1	1	18
0984e99dd27e31aa58085e97126e4618	3.80E-06	0.25405405	0.789640592	0.78964059	44
099a7896d71a2c7a778597686723ba6c	0	0.29087431	1	1	69
099efb469949140c3e6597597276199d	0	0.25829337	1	1	48
09bb8e8a25b11e6d3e8a4c722ef72094	0	0.28453495	1	1	13
09c9dc8a9e1900548031b4510427b1f5	0	0.28288466	1	1	51
09d638d6104d6fe6316b9da92a598878	2.67E-04	0.33480119	1	0.61267497	198
09f767acb4a525e35e78abf38872f775	0	0.28607791	1	1	29
09fbc415b1a7eef427bc2bc12a5479fa	0	0.33311856	1	1	144
0a4b3d45caac4efe5a7e049a731a456b	7.34E-04	0.36511299	1	0.65404776	102
0a4ebaa1897266ecfe0ec2a0b767c51f	1.15E-04	0.34688674	0.815233786	0.83649114	128
0a5c70fa393472aa9bed2f5550487835	0	0.3178409	1	1	32
0a832869a939622c47263fe019033778	3.51E-06	0.28294658	1	0.93759071	53
0a970ab2ada1effa27c7666ad924745e	0	0.31737262	1	1	52
0aa16830aab45d8c615831bd18406c72	0	0.3030836	1	1	45
0aa200e21df2e8fb32d27f623371c731	7.92E-05	0.33981859	0.675362319	0.65467865	78
0aa5ac5b3bc14e33781ff660c624db38	8.90E-04	0.33835079	1	0.66510837	182
0adaee8114471deed76f7150b14d4d30	3.07E-05	0.2701714	0.960591133	0.942959	34
0ae565c472e451b8537dcb5516af63a7	1.34E-04	0.30223313	0.815384615	0.60922659	67
0b0e34cf3da89d822c9289dd106558c7	0	0.3147066	1	1	12
0b23f432bdfae3e99bd82b01338a8e53	0	0.30671571	1	1	30
0b259e455b2ccd3ea29be85840cb9742	0	0.26439603	1	1	22
0b4aab48a5c7506a55cc7eaede2303e1	0.0010764	0.34107402	0.587905935	0.42650661	157
0b60de9b97006e740c7b0163f4b99ee9	1.93E-04	0.34320234	0.60546476	0.6	105
0b6f378e9789f8885be777c05f472a9b	2.90E-04	0.2856985	0.689738431	0.66816479	90
0baddba119d728cd1d78fa346498e5eb	0.00193576	0.36839105	0.973404255	0.4992079	147
0bc08d5395945dd2c3160b93ee4f644b	0.00515866	0.37237107	1	0.37080595	295
0bd89bf47f2c2ceb9b1b07b4d02782c1	4.81E-05	0.31721684	0.674011299	0.64475524	66
0bf85e793fd9b08d1c7f4cedc4d8bea3	3.07E-05	0.2701714	0.960591133	0.942959	34
0bfa4f71967ac6294e55a1c075b334bb	0	0.2657278	1	1	26
0c072b2059ac9cf52c60f13081e367fb	0.00104455	0.3480544	0.392209701	0.39049652	179
0c19832cc0af6c1a6485fefcedfcd15e	5.40E-04	0.35227582	0.550151976	0.61802802	195
0c27584274d0e21f710fcf11039f8fd4	0	0.27119178	1	1	34
0c6414bb3ad53f83c0e089add8247a63	6.13E-05	0.32175753	0.573934837	0.64502165	78
0c65fe0c0b540e9d6cc4051ddae38c75	0	0.28288466	1	1	51
0c66c0737e3a4c39bd6bd622b9fdad97	0	0.34120908	1	1	52
0cdb387bcff8e676861b90385457ba87	0.00428048	0.33632579	1	0.63997662	59
0cdc50c12af547ce3bc0cb7bcebd7d3e	0.00334065	0.36744847	0.93612079	0.54532374	140
0ce8669586b44db02eb23beee4e34bc7	0	0.29381678	1	1	23
0cecd0a58e1f8ffa6e511762ecf693fa	0	0.29087431	1	1	69
0d25772431dcff6394730fd97f0b0285	0	0.26439603	1	1	22
0d49b2e24044c81ed5457c7ae79d8811	1.35E-04	0.32883857	1	0.50847267	134
0d4d225c102279dcc0aa4f177359d0e8	1.12E-04	0.33376372	0.671199558	0.70235397	186
0d662e4abeef9f99002871494e93e879	0	0.3178409	1	1	32
0d7c2531dc570e19012b516056566923	0	0.29685347	1	1	37
0d8a0118094f8b4a4a0f13faa813065f	0	0.28325663	1	1	34
0d8ad8710791704e489689e14dac591b	0	0.30784804	1	1	49
0d930bf0a84de2e2f0aad9999270d8c1	0	0.28288466	1	1	51
0ddca67fafbc8abdaec1798ddd4eae82	0.00246319	0.36568114	1	0.61792228	195
0ded16a4b8be9b375258827b4d47ab81	0	0.28715841	1	1	75
0dff6efc1b1d5dd6e0df27fda9ea426a	0	0.66666667	1	1	6
0e07e1bae809b89c9c663a3f90770163	3.21E-05	0.28837573	0.748051948	0.77232143	64
0e334acbedca9ced69c407610b88395d	3.07E-05	0.2701714	0.960591133	0.942959	34
0e37b798723a9dd41dff2ec9290e7d1b	8.92E-05	0.2854146	0.720930233	0.7023569	55
0e4d0a6cdfdd9612fcfa8702c5b8421f	1.60E-04	0.29199142	0.787301587	0.77760358	95
0e6a7e5cf7fee808cdba40eba1c29dbf	1.84E-05	0.31242446	0.621212121	0.71099744	69
0e83de8f08b4ad1825e028bf82813fe4	0	0.32187772	1	1	40
0ea57030c52b4da12a37570cfd1e6f8e	7.34E-04	0.36511299	1	0.65404776	102
0ece647ede66a588ff5c8191ea308246	0	0.26848774	1	1	51
0edeff73bc2837f76d75d5e5bae84e0a	0	0.3130677	1	1	34
0ee24e73ebf4145b8e1d4b37d44a4cd8	0	0.31024964	1	1	66
0eebe59a7285efffafdc1580be57579f	0	0.31497502	1	1	41
0f1e598f923729b4313af1b543fa8ad1	0.008248	0.35084148	0.760233918	0.53416059	167
0f2d10b68ca94cfbe2aa13a07e3e3e7e	5.48E-04	0.33497473	1	0.64673267	101
0f4fb50ec8d4e675a310da99e54fd985	3.84E-05	0.29139894	0.91087344	0.91465149	38
0f5be9737051be05f9038cd5023e7d27	0	0.23173465	1	1	44
0f8080344e2d2439f0c02a281d08963c	1.74E-04	0.30591716	0.803382664	0.69932079	88
0fab6988ddff4136c6223d3a7310daa8	0	0.28288466	1	1	51
0fb85349287990a76c76f20a1b55a8d4	0.00374147	0.37098163	1	0.67133211	181
0fcf87d9603c1492f05d8c498d82863a	0	0.22985951	1	1	18
101bcae5684ee93bc8ba345a3ed385b4	8.00E-05	0.2723346	0.761904762	0.76190476	63
102422cf751f404486c5e2779d2dbd8a	0	0.33759958	1	1	56
105fbbbd63017abd1e02de0d5fe8a959	0	0.28288466	1	1	51
10642a7c69ffd293f6ff8fc14a907b96	0.00134267	0.29169488	0.375323834	0.37488766	195
107b13ead7cae1ff6c04d8228a8288c7	0.00220117	0.36108395	0.364108988	0.38049645	376
10838d619490d8c9bf0644e35f107856	0.0012807	0.36347019	1	0.45334475	222
10876126360e5545a4c27c8020965cdc	2.00E-04	0.33843938	0.704260652	0.71600688	84
1088a7a28d09ab2bc8cb0e0e6cb9c669	3.65E-04	0.34749294	0.579448622	0.58533125	266
108fb16814ec51a9aa32f35d5b9f880c	0	0.26935501	1	1	62
10aa0e3b544d36a251687d075dd55125	6.58E-04	0.35041345	0.405847546	0.4041206	200
10bcd0a97ddbba104797b5ca3ac2e457	0	0.31628533	1	1	25
10c4864e2413cd51aeae7b28286dc5e5	9.16E-04	0.31208499	1	0.53829114	80
10cdb8d45f4c7b2aae95e8a3a5592191	0.0036464	0.33277549	0.466864124	0.41717172	100
10e50935e8582c3b206dae8e74066c0b	0.00193576	0.36839105	0.973404255	0.4992079	147
10f940db1663fc94581daa43bfe2edb4	0	0.33553998	1	1	45
1162fd7b2c426439cb56415ba6b3c5b6	8.01E-05	0.2973657	0.697478992	0.68552036	52
11712e04d76c3b57295ebd95b0b6390a	0	0.35469265	1	1	143
1174177fb26785e7ad3822c7a8956858	0	0.286999	1	1	31
1190c6cefbff447c284c98e7a8fe85b4	0	0.26957973	1	1	35
119e62beef00719012e684a178bd027b	0.00192365	0.30040674	0.360387232	0.35713568	200
11c354be8b5248c6bc44b39c212969f5	0	0.28715841	1	1	75
11e94efb94a98cd543811a199bcef0ac	0	0.29087431	1	1	69
11e9df41f9e32968bba4c4cd1862bd20	0.00636978	0.38358807	1	0.60555115	195
125974c6b0385b01236e400f3d78382c	0	0.31516703	1	1	37
12affc549fd7ec4611f47ec8ca9be1bb	8.27E-04	0.36439244	1	0.52	225
12b515eee02d03cadcd89131c823a005	0	0.32091868	1	1	55
12b6af761202cf9a7791f0be00658aa5	8.90E-04	0.33835079	1	0.66510837	182
12c5ea42f46e557ffd48091fcd42a2dd	0.00436187	0.37616414	1	0.43617707	290
12d21861f38bd42933f54de8d9b1500d	1.99E-04	0.33928337	0.824358974	0.76030748	54
12e0ac4e3cfb8abcbee2780fda6e35c9	0	0.31497502	1	1	41
13353a56665f493933b8728a93b9307b	0	0.32187772	1	1	40
133c3ca2d371d8e0f7c0654a5bda5a1a	6.59E-04	0.30664294	0.66631412	0.59409065	84
133e66e1284773a0a25c0de9412e978e	7.27E-04	0.30351063	0.559107559	0.54901961	85
135df651be4f77b15273ee03d9614e89	2.98E-04	0.31485993	0.70625	0.5859667	109
1379754489c509c04c9d58a37ae5570e	0	0.28288466	1	1	51
1397723ddeea239691d7abc735a044df	4.66E-04	0.3543523	0.843454791	0.61628959	170
13a63d09e7c297099ebf32f36f7a3ec9	0	0.32750538	1	1	39
13a77ce1b09824eab75efb0465026857	0	0.286999	1	1	31
13c9428d852d394630d3b48971fcbbce	0.01036665	0.36765752	0.323809524	0.31738137	173
140bb989477c233c08443bcb942b0e8a	0	0.28795812	1	1	51
1478a124d9b7ec812a000889182fb71b	0	0.25143469	1	1	16
148e18b57b2e3eaadfa9a8ce86f2ffd4	4.01E-04	0.2934832	0.6537127	0.6537127	132
14ab74c2931cf5a2cd850cee9c4fc013	0.00548368	0.3296353	0.372722276	0.36443024	227
14b9fb7c46ec80590a8bd2f67e158eb6	3.07E-05	0.2701714	0.960591133	0.942959	34
14c4bbd355ae0b4d5f7771e8dc3b08a1	6.69E-04	0.34918276	1	0.54295246	110
14e4f3058cc52499dd30ee21bb7f6252	0	0.28738188	1	1	26
14e7231c72c9a5b0da919927741bef18	0	0.28300854	1	1	40
14ff25d5c9f51062c0157741bbaf3003	3.07E-05	0.2701714	0.960591133	0.942959	34
1504561136ae350120432e36e46fb708	3.76E-04	0.35170068	0.533742331	0.58518057	220
1521258dfe3df6b98379f8f7ce1b06c9	7.04E-05	0.30191544	0.930735931	0.70719903	58
15648ec807d6abda4fda3702ee82b007	1.35E-05	0.31945131	0.967320261	0.86860785	118
156e7cf3a308b2998082c44923e19318	0	1	1	1	6
158097fe60a9d2c58b0606596328ca91	2.04E-04	0.29488935	0.75	0.56140351	39
158aad598aa2d7af61f31c5d0324d547	0	0.31925404	1	1	36
15a13e4bd72351fc416dfa8c48a4f777	9.87E-04	0.35483871	1	0.5169697	100
15cf9566fec4944cf4ea86edefdff592	0	0.27688518	1	1	55
15dbf1ec609278afa921711a41379906	0	0.33014049	1	1	141
15e60488713f751eed51b0ef2d822b8a	8.58E-04	0.32647133	1	0.69467787	85
15e97beda5cf27728abbba1d23318eae	0	0.33928337	1	1	63
15ee4b02a1e1673bbd9de83716e27ae7	0	0.33311856	1	1	144
160de7098095ba6cc1d9d5ce2c1d3f3d	2.24E-04	0.31432393	0.839215686	0.66181411	95
160e7d871b28309bdfc0f9aee7adeea4	0.00312962	0.3678668	0.379089233	0.34746842	332
164de99ddaa0fbe67d9c8ebe4ea4f194	7.63E-05	0.32676021	0.563585291	0.57580284	104
166b67b6a0c1b7bf56b8b348727f3a86	0	0.3130677	1	1	34
166f36f3fbbdb4d21e79067cd3431de2	0	0.23173465	1	1	44
1675a2885f20b9e90e6187e80a0d791c	4.72E-04	0.33879423	0.566486486	0.58368396	93
167798cbfda5a9b4b332a2bbaac0004b	0	0.29901677	1	1	46
168d95dc9f39a152d5157d83a3255d43	4.00E-04	0.34716626	0.470441195	0.47471737	140
1695df7a5538edd01f098036bcb425ba	0	0.25616886	1	1	36
16a0e4f91f01d885c913aa81b45d11e5	0	0.25382954	1	1	35
16fb01ae7895e66cc9169078b8c606e7	0	0.27688518	1	1	55
171aa3bf2f585166c613d53b88e6e853	4.60E-04	0.34193122	1	0.59737757	219
173358ae004caa6297d1f4f5b1ead696	0	0.33311856	1	1	144
173c0af7e74846594cf053a1e3dd7ef9	0	0.29087431	1	1	69
1748f3ad21536dba45b430d6690f7b3f	2.56E-04	0.35724157	0.923052862	0.90754967	151
1772ec4cc442b4c03b28697db5762f9b	0.04327439	0.33380682	0.73237998	0.31785714	176
178974d87178ca5b89a5abfcd945be40	0	0.24520964	1	1	21
178e85f2e435e09762e7694d2c79898f	0	0.26848774	1	1	51
17ade2ed59ad3937988f4018cad423d0	0.00464059	0.35877863	0.518115942	0.38932599	124
181318e43aab046a16abffc2feda25e8	1.44E-04	0.33410883	1	0.77006613	170
184cf3457ae897b60a8f1dd9cf373a98	4.16E-05	0.29688756	0.878787879	0.71103896	56
18515880ac568f900415dfb34ed10768	0	0.29291785	1	1	36
187411d3182c5da2cacfc4b4a52a0b64	3.25E-05	0.29468764	0.819727891	0.79675325	56
18b4c646b8ab2aabb749beaf91c1673c	0	0.32091868	1	1	55
18b62a251c9ca6f973559b5d522220c4	0	0.26854353	1	1	60
18d4de18badf3587d461366a4a28fae7	0	0.2779271	1	1	42
1952912bac53602571b3bebffd5aaf76	0	0.21031649	1	1	11
195a684b6e73ce745e861e9427b030d6	0	0.29087431	1	1	69
19652a97261f71b3e313ace6210ee2c8	0	0.28052089	1	1	31
1976f64215d647c09972643b2a4aef43	0.00735411	0.36907481	0.900900901	0.39995745	238
19a82b73d5e42f8f3d718a54b71b7741	0.00537664	0.33009833	1	0.52941176	18
19eb79032526a88c09072dbe8dcb8306	0	0.29685347	1	1	37
19f3813921eb07288a0dc6f8d1bd04a4	0	0.33014049	1	1	141
19f6ae5780bfc996125516709f2378f0	0	0.29381678	1	1	23
1a2edd760384ab568f9a09f619fd4386	4.61E-05	0.31462999	0.887491265	0.73757576	100
1a35f05269a8a5febe24c9715f1fca43	4.34E-04	0.34311123	0.476707372	0.47527233	136
1a6a865de9fb9901d69f257b38cc9e91	1.75E-04	0.3461899	0.57995338	0.58571151	102
1a73c23d9b35b29493e36c74103e9573	0	0.18838362	1	1	9
1a7babdf103b88497112ededae3dd9b7	0.01891152	0.40612726	1	0.43379057	245
1a7c287a7abe2d5be685f6406204fa47	2.56E-04	0.35724157	0.923052862	0.90754967	151
1a7d2fa371f71668681815b7537007e4	0.00204234	0.31776275	0.471009653	0.46718977	186
1a847d2a8aa4a39e028a985be0a1e6a7	1.94E-04	0.34819504	0.967320261	0.74913982	139
1aa43cd2f86466eaeff58fc7072c87be	7.34E-04	0.36511299	1	0.65404776	102
1b08be3af40e409499bae5ec0d204fe6	0.00863668	0.37975613	0.492160706	0.38203608	285
1b14a9c2d72d6ddd9125bc82ac1a6217	7.06E-04	0.30279958	1	0.50925632	138
1b2652a049a1fa7af43e9733aab729fa	0	0.27688518	1	1	55
1b2bc600fcda82eb4812057b70a9c501	0	0.32091868	1	1	55
1b5f43675b58ffa7fe16efdd896a1a4e	0	0.29685347	1	1	37
1b6e3e1462a2ee663004050b68730663	1.37E-04	0.32696686	0.86059744	0.68384787	150
1b737d426a7218deaa3d16fc16d39b88	0	0.286999	1	1	31
1b7a37c18106374da01d0f65c570940e	4.02E-04	0.35122283	0.538014996	0.58029941	213
1bb329d3b907e088c44d32751cd7e7e3	6.86E-04	0.33764368	0.847549909	0.56545628	92
1bb6f84057b10b3f394c8d15f2d419c9	0	0.2836607	1	1	33
1bd29710e559b1283404edef0390d0de	0	0.28288466	1	1	51
1bd7f5552237d0a1b0b841f63283ebf8	0	0.26957973	1	1	35
1bea36fb7e62806f59cc0b20d19c55e4	0	0.31516703	1	1	37
1c040c0437add57fd6316c1376237332	2.06E-04	0.28953853	0.646083935	0.66707071	100
1c087cc2509c7cab213d34653be59d29	0	0.35469265	1	1	143
