name	BetweennessCentrality	ClosenessCentrality	Community CC	Global CC 	Degree
00265deca2e31c809b18c5a77625d7e4	0	0.2901276	1	1	69
00313d838848cb2f155417110b589648	0	0.29061554	1	1	51
003c8688dfe2a00e49dc4fe8ffc6d814	0	0.27310083	1	1	27
006fd0c921d9bdac8a55882eda80e3be	0	0.31640625	1	1	48
007d4054922892abab74cf14fbd164f6	0	0.18428724	1	1	31
007f41794dfabfa72bafe35b2c064923	5.98E-05	0.32051441	0.765130985	0.7711419	92
00a214c24eadc36aed896869c31d5038	0	0.32107023	1	1	144
00a5f03cf3932d6de0ae8265fb20dc1e	0	0.34712736	1	1	52
00cd969afaf65ecc95bb9f54c06a7cd8	3.94E-04	0.33732431	0.5571185	0.58368396	93
00d944f47b25fa0f32b4a29b1f3de97d	1.26E-04	0.30740038	0.682211538	0.70187266	90
01170daa0b5a4dc6b5814a47f441a6aa	1.01E-04	0.29793103	1	0.82259887	60
01b86a3aba1eb2cce61e1f93f966fd0f	5.52E-04	0.34331126	1	0.55367232	60
01d556df2a5ac56ae5ace1289e1fe5e8	8.36E-04	0.31889764	0.466757866	0.5049416	106
01ea6169cf109cd6e817dedd6c35f133	0.00254067	0.36537919	1	0.47329435	190
025a2bb9a839a26b63c398bf45491b67	6.57E-04	0.307109	0.527272727	0.39835841	86
0265a13ac091838829103dc945c1e47e	0	1	1	1	12
0266f8adb79102b1f496ae23028a5512	0	0.30986252	1	1	66
027727757860654e7c97c5507ca260d4	0	0.32595573	1	1	49
0293104931417f64fb64a30f4cc9e942	0	1	1	1	8
02d4a6a7e0e84c703cb2534ad79ee570	5.04E-04	0.35207824	0.608023457	0.60134338	198
02f28397c0cea2405d63b0ab549cb659	0	0.26707883	1	1	14
030d0f0db1b0bc4a65cc99a7d1bd7a39	0	0.28489778	1	1	41
0314e69d7692d84245b57483ec7d9bc5	1.26E-04	0.30740038	0.682211538	0.70187266	90
032278fed024b352647b3b5715a6c9f9	1.36E-04	0.34015748	1	0.77006613	170
03369be65078326ed274664d14e80dcc	4.77E-05	0.31885841	0.686090226	0.64475524	66
036c44a394b810895668da54773f538a	0	0.18428724	1	1	31
036f26d8177ac15f079a6243e43b478c	6.18E-05	0.28085383	0.615045548	0.61456583	85
0389876ce4e36158d08bf0ed5fbd5b93	7.36E-05	0.32562814	0.786834734	0.75755306	90
03d21bc19449179c9dfabfed9967299f	0	0.33679834	1	1	56
03d4a59d0342390489fda593db375346	0	0.30461864	1	1	49
03e99e84c34b5b0561853fe746f0426e	0.00268552	0.37440416	1	0.4082997	222
03eb7012484e06d1fd5628ec6716ae53	0	0.35935117	1	1	143
03f603d2f7ad132502fff8d53f5b5188	9.74E-05	0.29782834	0.737521515	0.73529412	85
03fa56492adec56ece2144e1a1bbcf64	0.00337272	0.37284235	0.674768728	0.63266408	193
0429d984999777344a2962a976184d48	0	0.32075238	1	1	32
045463cfcda5627b92534cc5030805c1	2.34E-04	0.35102925	0.522961031	0.52745694	141
045fa8791791a5293793f6347c74aa1a	3.35E-04	0.34002361	0.578317621	0.58533125	266
0461a86c68a68d7ec111b73bf6f99c7a	1.76E-04	0.34060447	0.974025974	0.80387003	166
047c9fc92865a5b726f1fa99244d8459	0.0012797	0.37049743	0.664873418	0.61916462	111
04b25e00c0d5fcbeccdfd4e9c1623b27	1.63E-04	0.29437819	0.560576923	0.5881001	89
04ea646d7b6b343f006e47d9a22b5cfa	0	0.32752085	1	1	40
04ec16719fb7afae3a29cf87da71589e	1.75E-04	0.31656082	0.672926448	0.68263305	85
052b0d48ee2990f260d4fae84028fce3	0	0.33069661	1	1	55
052ef942bf73a590cd444070060375d6	0.0011406	0.37203962	0.533606078	0.50359315	135
05383f2a82a1a07e42f7b618aea80d4c	0	0.18428724	1	1	31
053c744454d0d115cc35f190ec39bf8e	0.00353487	0.38095238	1	0.41464531	115
0548d32633161d33eb6f7f8b3a5eed26	6.28E-04	0.35250918	1	0.54916013	95
054b5e555dbc9896738e2aac1865fe6f	7.10E-04	0.36040044	0.476160991	0.49317618	248
05ad1f225a2b1875fa0695c672a40fde	0	0.35935117	1	1	143
05b407c4f3889861d1666a85602f1696	0.00144175	0.3441774	0.504461222	0.5249505	101
05d56fa4e9c56312707b46c4277e213f	0	0.27144204	1	1	60
05eda63dc21ee15b8ef2579ffa7edee6	0	0.31064238	1	1	45
0613e1e8060ec641e633528fe7b72b8e	5.52E-04	0.34481841	0.44242638	0.41751663	165
062245a613466b5799d3933f2f3373d2	0	0.35935117	1	1	143
06292a2b651be951c4cd3d682ac9c8cf	0	0.29185902	1	1	61
0645222311569e6d54d9107d36ee4e70	1.81E-04	0.30422535	0.63125	0.65143571	90
064590ef18b5c43d7c141949a1864d77	0.00139766	0.28505444	0.54778481	0.54561879	82
064c2be465bc63d302361b04d8256f73	0.0173354	0.28691609	1	0.47305764	57
065de0cb3e7975b66d205edc1fad5d1e	3.10E-04	0.31338411	0.71020624	0.53109244	120
06673381c1d982eccb55688210cbbca6	0	0.29865192	1	1	51
066fcb8eb11ee9ab6aa8718d9f550dbf	0	0.18428724	1	1	31
068192da85efb2d1c9e297062eee540a	0.00364989	0.35322976	0.58657031	0.40609179	157
06832ecbd9683fc197dd0f7197513d1b	0	0.35935117	1	1	143
06917623b305cb5462cafbddb40718f9	0.00485569	0.32067302	0.795798319	0.47470968	125
06b3229e60bbef51e2aa19de3739dd0e	0	0.31064238	1	1	45
06b338dc755fc6c51a68cf7eff9cad50	0	1	1	1	21
06b4170968298f1d03193a404779fb23	3.15E-04	0.29424452	1	0.54624127	139
06b9571d7a4eadffd0e422ecc419cf4f	0	0.31640625	1	1	48
06c4db1ba3aa68a5c2deb49bb904f54c	0	0.31232679	1	1	66
06c539289e96023cf6578d19cb30727c	0	0.32107023	1	1	144
06d064672d567cd04076ff7c1c896ca7	8.35E-04	0.31342201	0.574122479	0.51768053	122
06f54ee8ec234e44985cf24bb880ad89	0	0.32107023	1	1	144
07278989bd641a6030b1b3f5f53e238b	0.00373616	0.34787277	1	0.52230971	127
07294868425d0d7316ae92d9e4ff86fc	0.0045568	0.32885055	0.798359535	0.80993789	161
075517a9233a77e57e76f0b9fc754a39	8.35E-04	0.31342201	0.574122479	0.51768053	122
0759f7acd48a7af924c4c9271364d581	0	0.29498122	1	1	41
075f82704a03af4731bc8b7811485102	0	0.28993289	1	1	32
0776f5ff2d9ed528cfbb4a002042d2de	6.59E-05	0.32222775	0.776744186	0.77742947	88
07a03a4daadb91f4dd167efa0a2e1c79	0	0.2901276	1	1	69
07b45b89da862a6f9b585267bc9f49dc	6.17E-04	0.35746794	0.823960396	0.62548575	193
07cf4ab17d214d5efda8e20931b2676c	0	0.28368173	1	1	44
07df11c95b78d7a2dd70d76e5a003507	0	0.32972904	1	1	141
082232aa3fea18b31a06b053a1b752e1	0	0.32752085	1	1	40
0839be300e7657255e158505af533604	0	0.28993289	1	1	32
08456adf66fda3afc5b847d4e7ce8a98	0	0.28896321	1	1	40
085ce5f9e13aea748dcdcb2ae105def4	0	0.27144204	1	1	60
087657c3d29467cc9d76de265cdfc2dd	0	0.29865192	1	1	51
08a8361c7b285cf8c13cffca20a9e349	5.47E-04	0.35351882	0.594176932	0.45889314	170
08c33f95f4cfb083550ad239a83be844	2.51E-04	0.33116136	0.978688525	0.60266889	110
0900709d6147d5d80f7d5fd7a49802e5	3.98E-04	0.34946744	1	0.53588426	103
09026311c5002fa0886ae3a32b57f6e9	0	0.34163701	1	1	61
09082304e74c3c001aa906bcb6090b07	0	0.35935117	1	1	143
0910a5b1ff635f2d4bf02e1bc2acfd7b	0.00113566	0.28293854	0.524988191	0.51968075	149
094072b4704446523e854be950e4a841	1.94E-04	0.34880904	1	0.74924408	139
09460cf19efdffb70f0497c7f5d8b45a	5.39E-04	0.35840708	1	0.617866	156
09771150cdde9590389f01c64ec2bc3e	0	0.2901276	1	1	69
097e5cf0bdc304744324230c9fbf17fe	0	0.30006946	1	1	18
0984e99dd27e31aa58085e97126e4618	8.45E-06	0.25757726	0.789640592	0.78964059	44
099a7896d71a2c7a778597686723ba6c	0	0.2901276	1	1	69
099efb469949140c3e6597597276199d	0	0.26115869	1	1	48
09c9dc8a9e1900548031b4510427b1f5	1.01E-04	0.29793103	1	0.82259887	60
09d638d6104d6fe6316b9da92a598878	2.64E-04	0.33445161	1	0.61267497	198
09f767acb4a525e35e78abf38872f775	4.23E-06	0.28873789	1	0.99770115	30
09fbc415b1a7eef427bc2bc12a5479fa	0	0.32107023	1	1	144
0a4b3d45caac4efe5a7e049a731a456b	8.67E-04	0.37092158	0.951690821	0.65404776	102
0a4ebaa1897266ecfe0ec2a0b767c51f	6.19E-04	0.35250918	0.774863388	0.66741217	147
0a5c70fa393472aa9bed2f5550487835	0	0.32075238	1	1	32
0a832869a939622c47263fe019033778	0	0.29061554	1	1	51
0a970ab2ada1effa27c7666ad924745e	0	0.31842752	1	1	52
0aa16830aab45d8c615831bd18406c72	0	0.31064238	1	1	45
0aa200e21df2e8fb32d27f623371c731	6.49E-05	0.34513981	0.682438193	0.65601066	78
0aa5ac5b3bc14e33781ff660c624db38	6.26E-04	0.34399469	1	0.66535122	182
0adaee8114471deed76f7150b14d4d30	0	0.26907505	1	1	30
0ae565c472e451b8537dcb5516af63a7	1.32E-04	0.30108026	0.797720798	0.60922659	67
0b0e34cf3da89d822c9289dd106558c7	7.44E-05	0.31168831	1	0.8	15
0b23f432bdfae3e99bd82b01338a8e53	0	0.3059129	1	1	30
0b259e455b2ccd3ea29be85840cb9742	0	0.26633785	1	1	22
0b4aab48a5c7506a55cc7eaede2303e1	9.92E-04	0.34661674	0.608529111	0.42683325	157
0b60de9b97006e740c7b0163f4b99ee9	1.75E-04	0.34367542	0.607405231	0.6	105
0b6f378e9789f8885be777c05f472a9b	0.0012649	0.32150831	0.499480789	0.50323849	132
0baddba119d728cd1d78fa346498e5eb	5.85E-04	0.37076241	0.764768778	0.67376312	116
0bc08d5395945dd2c3160b93ee4f644b	0.00452961	0.37193285	1	0.37096737	295
0bd89bf47f2c2ceb9b1b07b4d02782c1	3.07E-04	0.32534204	0.555710956	0.45611285	88
0bf85e793fd9b08d1c7f4cedc4d8bea3	0	0.26907505	1	1	30
0bfa4f71967ac6294e55a1c075b334bb	0	0.26837855	1	1	26
0c072b2059ac9cf52c60f13081e367fb	9.70E-04	0.3495617	0.397873824	0.39112422	179
0c19832cc0af6c1a6485fefcedfcd15e	0.00127216	0.35945084	0.513148823	0.51885987	217
0c27584274d0e21f710fcf11039f8fd4	5.04E-05	0.31361162	0.833816425	0.80527211	49
0c6414bb3ad53f83c0e089add8247a63	6.97E-05	0.32299065	0.561085973	0.64535465	78
0c656b4ec014fff5c3ed23420f33e8f2	0	0.289318	1	1	8
0c65fe0c0b540e9d6cc4051ddae38c75	1.01E-04	0.29793103	1	0.82259887	60
0c66c0737e3a4c39bd6bd622b9fdad97	0	0.34712736	1	1	52
0cdb387bcff8e676861b90385457ba87	0.00445313	0.33776388	1	0.63997662	59
0cdc50c12af547ce3bc0cb7bcebd7d3e	0.00264877	0.37581557	0.580655178	0.5118588	148
0ce8669586b44db02eb23beee4e34bc7	0	0.31640625	1	1	48
0cecd0a58e1f8ffa6e511762ecf693fa	1.95E-04	0.30132527	1	0.76138701	83
0d25772431dcff6394730fd97f0b0285	0	0.26633785	1	1	22
0d49b2e24044c81ed5457c7ae79d8811	1.37E-04	0.32839225	1	0.50880934	134
0d4d225c102279dcc0aa4f177359d0e8	1.20E-04	0.33346198	0.664584779	0.70247021	186
0d662e4abeef9f99002871494e93e879	0	0.32075238	1	1	32
0d7c2531dc570e19012b516056566923	0	0.29612704	1	1	37
0d8a0118094f8b4a4a0f13faa813065f	0	0.28666224	1	1	34
0d8ad8710791704e489689e14dac591b	0	0.30758277	1	1	49
0d930bf0a84de2e2f0aad9999270d8c1	0	0.29061554	1	1	51
0da7c2c24d4ba4fb52e6ba6f6df15431	0	0.18428724	1	1	31
0ddca67fafbc8abdaec1798ddd4eae82	0.00294442	0.37343322	0.577117327	0.61776368	195
0ded16a4b8be9b375258827b4d47ab81	0	0.28787206	1	1	75
0e07e1bae809b89c9c663a3f90770163	2.36E-05	0.29176047	0.760784314	0.79414683	64
0e0d0cbe11584deff2795ab02e1bc81b	0	0.26821192	1	1	21
0e20e0a9e05fb37284460b7338757f7e	3.69E-05	0.30094044	0.89025974	0.87784921	59
0e334acbedca9ced69c407610b88395d	0	0.26907505	1	1	30
0e37b798723a9dd41dff2ec9290e7d1b	0	0.28489778	1	1	41
0e3e9a727c72ddc5360fb0b73e59142b	0	0.28536827	1	1	20
0e4d0a6cdfdd9612fcfa8702c5b8421f	1.61E-04	0.29474642	0.787301587	0.77760358	95
0e6a7e5cf7fee808cdba40eba1c29dbf	1.62E-05	0.31034483	0.630156472	0.71099744	69
0e83de8f08b4ad1825e028bf82813fe4	0	0.32752085	1	1	40
0e94cfb21217cf6f12d4a8301dc0d5b6	0	0.28170851	1	1	17
0ea57030c52b4da12a37570cfd1e6f8e	8.67E-04	0.37092158	0.951690821	0.65404776	102
0ece647ede66a588ff5c8191ea308246	0	0.27181208	1	1	51
0edeff73bc2837f76d75d5e5bae84e0a	0	0.31001076	1	1	34
0ee24e73ebf4145b8e1d4b37d44a4cd8	0	0.30986252	1	1	66
0f1e598f923729b4313af1b543fa8ad1	0.00828145	0.34918497	0.587301587	0.53452132	167
0f2d10b68ca94cfbe2aa13a07e3e3e7e	4.83E-04	0.33501357	0.963015647	0.64673267	101
0f4fb50ec8d4e675a310da99e54fd985	2.97E-05	0.29185902	0.91087344	0.91465149	38
0f7cf4a9dc24e0fc6c02fe9e6d3541c6	3.69E-05	0.30094044	0.89025974	0.87784921	59
0f8080344e2d2439f0c02a281d08963c	7.12E-05	0.31075411	0.780487805	0.71238938	113
0fa5d649f03c0a68ddeac621870d9855	0	0.2206333	1	1	5
0fab6988ddff4136c6223d3a7310daa8	1.01E-04	0.29793103	1	0.82259887	60
0fb85349287990a76c76f20a1b55a8d4	0.00370061	0.37894737	1	0.67133211	181
0fcf87d9603c1492f05d8c498d82863a	0	0.23213326	1	1	18
100f7ce253aa498b1d05431d1d32fda7	0	0.26821192	1	1	21
101bcae5684ee93bc8ba345a3ed385b4	7.73E-05	0.27545165	0.761904762	0.76190476	63
102422cf751f404486c5e2779d2dbd8a	0	0.33679834	1	1	56
105fbbbd63017abd1e02de0d5fe8a959	1.01E-04	0.29793103	1	0.82259887	60
10642a7c69ffd293f6ff8fc14a907b96	0.00132965	0.29387755	0.375323834	0.37488766	195
107b13ead7cae1ff6c04d8228a8288c7	0.0020916	0.36130471	0.360106076	0.38059574	376
10838d619490d8c9bf0644e35f107856	0.00126327	0.36348338	0.866666667	0.45326322	222
10876126360e5545a4c27c8020965cdc	2.07E-04	0.34468085	0.707199032	0.71629375	84
1088a7a28d09ab2bc8cb0e0e6cb9c669	3.35E-04	0.34002361	0.578317621	0.58533125	266
108fb16814ec51a9aa32f35d5b9f880c	0	0.2724979	1	1	62
10aa0e3b544d36a251687d075dd55125	6.08E-04	0.35160065	0.406498523	0.40427136	200
10bcd0a97ddbba104797b5ca3ac2e457	0	0.31640625	1	1	48
10c4864e2413cd51aeae7b28286dc5e5	8.78E-04	0.31521343	1	0.53829114	80
10cdb8d45f4c7b2aae95e8a3a5592191	0.00263613	0.33671083	0.564484127	0.49137931	88
10e50935e8582c3b206dae8e74066c0b	5.85E-04	0.37076241	0.764768778	0.67376312	116
10f940db1663fc94581daa43bfe2edb4	0.00133434	0.35501986	1	0.60140474	68
11046ac7f89be912efbeac5413504b75	0	0.22474638	1	1	21
1162fd7b2c426439cb56415ba6b3c5b6	5.44E-05	0.29663539	0.686186186	0.68552036	52
11712e04d76c3b57295ebd95b0b6390a	0	0.35935117	1	1	143
1174177fb26785e7ad3822c7a8956858	0	0.29058296	1	1	31
119e62beef00719012e684a178bd027b	0.00214862	0.30369069	0.35810365	0.35723618	200
11c354be8b5248c6bc44b39c212969f5	0	0.28787206	1	1	75
11e94efb94a98cd543811a199bcef0ac	0	0.2901276	1	1	69
11e9df41f9e32968bba4c4cd1862bd20	0.00351351	0.38417074	0.775	0.6516589	187
125974c6b0385b01236e400f3d78382c	0	0.3199605	1	1	37
12affc549fd7ec4611f47ec8ca9be1bb	8.10E-04	0.36568849	1	0.52007937	225
12b515eee02d03cadcd89131c823a005	0	0.33069661	1	1	55
12b6af761202cf9a7791f0be00658aa5	6.26E-04	0.34399469	1	0.66535122	182
12c5ea42f46e557ffd48091fcd42a2dd	0.00434791	0.37391806	1	0.43624866	290
12d21861f38bd42933f54de8d9b1500d	0	0.33697348	1	1	45
13353a56665f493933b8728a93b9307b	0	0.32752085	1	1	40
133c3ca2d371d8e0f7c0654a5bda5a1a	6.45E-04	0.31142617	0.63681592	0.59409065	84
133e66e1284773a0a25c0de9412e978e	2.88E-04	0.32130904	0.601980198	0.62097812	112
135df651be4f77b15273ee03d9614e89	5.75E-04	0.32702498	0.511392117	0.48389923	166
1379754489c509c04c9d58a37ae5570e	0	0.29061554	1	1	51
13867ae90f2dadc5e3c11d0e03fe099a	0	0.18428724	1	1	31
138a7d78050cea295e5097aa1130380d	0	1	1	1	21
1397723ddeea239691d7abc735a044df	4.52E-04	0.35497124	0.674954955	0.61649843	170
13a63d09e7c297099ebf32f36f7a3ec9	0	0.32752085	1	1	39
13a77ce1b09824eab75efb0465026857	0	0.29058296	1	1	31
13c9428d852d394630d3b48971fcbbce	0.01166369	0.37456647	1	0.31946498	173
140bb989477c233c08443bcb942b0e8a	0	0.29133416	1	1	51
148e18b57b2e3eaadfa9a8ce86f2ffd4	3.64E-04	0.29558673	0.6537127	0.6537127	132
14ab74c2931cf5a2cd850cee9c4fc013	0.00651559	0.33410673	0.373465712	0.36450821	227
14b9fb7c46ec80590a8bd2f67e158eb6	0	0.26907505	1	1	30
14c4bbd355ae0b4d5f7771e8dc3b08a1	6.06E-04	0.34918497	1	0.54361968	110
14e4f3058cc52499dd30ee21bb7f6252	1.14E-05	0.30544426	0.813852814	0.64705882	35
14e7231c72c9a5b0da919927741bef18	0	0.28621908	1	1	40
14ff25d5c9f51062c0157741bbaf3003	0	0.26907505	1	1	30
1504561136ae350120432e36e46fb708	3.73E-04	0.35575075	0.547968161	0.58547115	220
1521258dfe3df6b98379f8f7ce1b06c9	6.93E-05	0.30076584	0.930735931	0.70719903	58
15648ec807d6abda4fda3702ee82b007	1.36E-05	0.31909393	0.8546471	0.86889758	118
158097fe60a9d2c58b0606596328ca91	2.50E-04	0.29531731	1	0.56140351	39
15a13e4bd72351fc416dfa8c48a4f777	8.72E-04	0.35890335	0.945075758	0.51858586	100
