name	BetweennessCentrality	ClosenessCentrality	Community CC	Global CC	Degree
003c8688dfe2a00e49dc4fe8ffc6d814	3.72E-04	0.28017557	0.830429733	0.81406105	47
006fd0c921d9bdac8a55882eda80e3be	0	0.31850312	1	1	50
007d4054922892abab74cf14fbd164f6	0	1	1	1	44
007f41794dfabfa72bafe35b2c064923	7.41E-05	0.27666747	0.645021645	0.62774295	88
00a5f03cf3932d6de0ae8265fb20dc1e	0	0.33410875	1	1	57
00d944f47b25fa0f32b4a29b1f3de97d	0.00709231	0.32950961	1	0.60769909	83
00fab54337cd97f6fee9e196d1a00a8e	0	0.27716801	1	1	21
01413d6da681cafaca1a1663068d941e	0	0.29674587	1	1	81
018b1af6e62202079d8786142259b69e	9.77E-05	0.32266217	0.846213378	0.82178318	141
01ea6169cf109cd6e817dedd6c35f133	1.44E-04	0.30252765	0.726397631	0.75314998	122
0265a13ac091838829103dc945c1e47e	0	1	1	1	14
0266f8adb79102b1f496ae23028a5512	1.75E-04	0.30999595	1	0.71354839	125
027727757860654e7c97c5507ca260d4	0	0.14071398	1	1	40
02d4a6a7e0e84c703cb2534ad79ee570	1.07E-04	0.27676743	0.633333333	0.66071429	49
030d0f0db1b0bc4a65cc99a7d1bd7a39	0	0.16232253	1	1	42
0314e69d7692d84245b57483ec7d9bc5	8.32E-04	0.30734252	0.576150917	0.56281859	116
032278fed024b352647b3b5715a6c9f9	0	0.27630155	1	1	37
03369be65078326ed274664d14e80dcc	0	0.29953076	1	1	42
034bed5bf5e3e31670f4e7d2e968e7d1	1.37E-04	0.33026732	0.844717445	0.75517241	145
034c1fc9a336758905eb84c8b604ac7d	0	0.29674587	1	1	81
035f13d5e2d7b8526c72054318340dce	0	0.31679074	1	1	114
0364aba5537b7e6d8039206507084028	0	0.65	1	1	12
036f26d8177ac15f079a6243e43b478c	0	0.26566474	1	1	63
0389876ce4e36158d08bf0ed5fbd5b93	0	0.33410875	1	1	57
03a81baf8d70d4eb5a6a0debbd259b49	1.37E-04	0.33026732	0.844717445	0.75517241	145
03d21bc19449179c9dfabfed9967299f	4.27E-04	0.3231613	0.868421053	0.58196203	80
03d4a59d0342390489fda593db375346	0.00145463	0.30550386	0.50255102	0.51521391	94
03e31691c7ecc025673beaa9a2c2839c	6.80E-06	0.32126381	0.987738238	0.92470507	132
03e99e84c34b5b0561853fe746f0426e	0	0.28366868	1	1	51
03f603d2f7ad132502fff8d53f5b5188	2.12E-05	0.27253321	0.828365385	0.81826163	68
03fa56492adec56ece2144e1a1bbcf64	6.90E-04	0.34009176	0.710806697	0.58077011	133
